Navn;Stasjon;Tid(norsk normaltid);Nedbor i forhold til normalen 1991-2020 (vinter- eller sommerhalvaaret);Nedbor (vinter- eller sommerhalvaaret)
Pasvik - Svanvik;SN99460;apr.09;93,5;294,6
Pasvik - Svanvik;SN99460;apr.10;106,1;334,2
Pasvik - Svanvik;SN99460;apr.11;87,7;276,3
Pasvik - Svanvik;SN99460;okt.11;106,7;190
Pasvik - Svanvik;SN99460;apr.12;110,7;348,8
Pasvik - Svanvik;SN99460;okt.12;133,8;237,7
Pasvik - Svanvik;SN99460;okt.13;98,7;175,4
Pasvik - Svanvik;SN99460;apr.14;85,7;270,1
Pasvik - Svanvik;SN99460;okt.14;77,8;138,2
Pasvik - Svanvik;SN99460;apr.15;92,1;290,3
Pasvik - Svanvik;SN99460;okt.15;88,5;157,3
Pasvik - Svanvik;SN99460;apr.16;129,9;409,2
Pasvik - Svanvik;SN99460;okt.16;105,1;186,7
Pasvik - Svanvik;SN99460;apr.17;91,6;288,5
Pasvik - Svanvik;SN99460;okt.17;100,8;179,1
Pasvik - Svanvik;SN99460;apr.18;99,9;314,9
Pasvik - Svanvik;SN99460;okt.18;104;184,8
Pasvik - Svanvik;SN99460;apr.19;75,2;237,1
Pasvik - Svanvik;SN99460;okt.19;103,8;184,4
Pasvik - Svanvik;SN99460;apr.20;82,3;259,4
Pasvik - Svanvik;SN99460;okt.20;106,6;189,8
Pasvik - Svanvik;SN99460;apr.21;95,9;302,2
Pasvik - Svanvik;SN99460;okt.21;157;279,4
Pasvik - Svanvik;SN99460;apr.22;94,6;297,9
Pasvik - Svanvik;SN99460;okt.22;97,9;174,2
Pasvik - Svanvik;SN99460;apr.23;82,7;260,6
Pasvik - Svanvik;SN99460;okt.23;73;130
